"id","tags"
"1","subatomic particles spin"
"2","explain string theory"
"3","lie acting group"
"7","need uncertainty determinism"
"9","integral hamilton principle"
"13","exactly produced sound"
"15","disprove theory string"
"17","set color sky"
"19","collisions higher energy"
"21","use monte carlo"
"24","left bike turn"
"26","field projectile velocity"
"27","function measurement particle"
"29","miles average mph"
"31","lay theory special"
"32","effect flowing sink"
"35","facing energy magnets"
"37","order world theories"
"41","physicists theories field"
"49","properties body capacitive"
"52","magnets poles lined"
"62","lhc km long"
"68","causes stress polarised"
"71","tem gouy phase"
"72","cancer therapy treatment"
"73","yang equation solutions"
"75","know stress remember"
"78","neutrons just repel"
"79","entanglement experiments entangled"
"83","light uncertainty laser"
"85","neutron proton mass"
"89","gravity newton law"
"90","radiation neutron pulsars"
"93","charge gauss law"
"94","transverse polarization beam"
"95","standard current model"
"98","isotope energy binding"
"100","process calculate fission"
"101","protons tevatron antiproton"
"102","equal opposite force"
"111","mechanics classical book"
"115","space cases mathematica"
"122","rest masses quantized"
"123","galaxy mass measurements"
"127","modern say gnuplot"
"129","higgs lhc boson"
"134","neutron share spin"
"139","recent neutrinos close"
"141","know reference data"
"142","salt water boiling"
"145","tap water temperature"
"147","useful particles spin"
"156","know lights northern"
"159","acting magnitude gravity"
"160","projectile elementary mechanics"
"166","breakthrough technologies energy"
"167","molten field earth"
"168","equilibrium reversible process"
"173","absolute quantity acceleration"
"185","needed high boson"
"186","approximately acceleration torque"
"191","core magnetic mechanism"
"193","need theory lie"
"196","causality transfer information"
"197","electrons electron know"
"198","macroscopically bound particles"
"202","sound physical fourier"
"208","earth frac delta"
"214","inside free falling"
"217","mouth cooked spaghetti"
"218","glass impressive adults"
"222","free software physics"
"228","ring axis rings"
"234","study physics mathematics"
"236","positronium annihilated element"
"237","irregular volume shape"
"239","objects boat float"
"252","body problem quantum"
"257","synchrotron chain accelerator"
"258","tippage angle dominoes"
"268","water vegetation capillary"
"270","white black clothing"
"271","diagram explanation angular"
"272","relativity counter intuitive"
"286","intuitive case vectors"
"290","air actually lift"
"296","allow conserved energy"
"300","convection models processes"
"303","moving sound water"
"304","fireworks determines pitch"
"305","electrons intensity radiation"
"312","things particle physics"
"317","single outcome measurements"
"321","centripetal mass force"
"326","change momentum angular"
"328","information momentum number"
"331","rate period precession"
"335","delay instantaneous electricity"
