"id","tags","pred"
"1","caribbean cruising vacations","caribbean cruises"
"2","guides extreme-tourism amazon-river amazon-jungle","amazon guide"
"4","loyalty-programs routes ewr singapore-airlines sin","reward sin"
"5","romania transportation","easiest ignorant"
"6","extreme-tourism antarctica","magazine antarctica"
"8","usa airport-transfer taxis seattle","seattle redmond"
"9","sightseeing public-transport transportation argentina","must argentina"
"10","safety international-travel money exchange","travelers checks"
"11","russia visas china mongolia trans-siberian","visas trans"
"13","online-resources transportation peru south-america bolivia","paz cusco"
"14","us-citizens travel-agents cuba","vetting cuba"
"15","sightseeing hungary budapest","hungary budapest"
"16","europe online-resources planning guides trains","oebb europe"
"25","budget cellphones data-plans communication mobile-operators","fees roaming"
"26","air-travel around-the-world","specific world"
"27","sightseeing planning tourist-traps","things traps"
"28","budget europe cellphones mobile-operators","mobile europe"
"31","air-travel usa sightseeing tours","overseas usa"
"33","online-resources international-travel adventure extreme-tourism islands","dreaming communities"
"34","planning tropical-destinations","deals tropical"
"41","destinations adventure activities swimming caves","swimming cave"
"45","transportation taxis automobiles airport-transfer","advantages private"
"47","sightseeing estonia tallinn caves","caves tallinn"
"66","china trains permits tibet","permit lhasa"
"67","usa florida orlando","orlando disney"
"69","luggage airports security south-africa jnb","bad johannesburg"
"73","health japan safety radiation","radiation nuclear"
"77","air-travel budget online-resources uk airlines","bmifriday deals"
"78","israel accommodation palestine tel-aviv","aviv palestine"
"79","france children","son colmar"
"84","budget air-travel shanghai hong-kong","hong shanghai"
"85","tours new-zealand","rings lord"
"86","tours guides vietnam hanoi","hanoi agency"
"89","air-travel luggage airlines international-travel insurance","valuable liability"
"93","routes south-america central-america panama colombia","gap dari"
"97","loyalty-programs singapore-airlines upgrades","jfk upgrade"
"100","safety tips-and-tricks india beggars","deal beggars"
"102","hiking africa kilimanjaro gear","unsure kilimanjaro"
"105","usa transportation","method flying"
"110","usa money exchange eu eurozone","method exchanging"
"115","budget caribbean sea-travel freighter-travel","caribbean freight"
"116","russia language-barrier russian-language","cyrillic spoken"
"118","amazon-river tours ecuador","tour ecuador"
"119","planning france paris festivals","activities crowds"
"122","safety international-travel online-resources","political constantly"
"123","trains france luxury high-speed-rail fares","eurostar class"
"127","budget tips-and-tricks","suggest travels"
"135","safety international-travel","honest world"
"136","safety transportation middle-east yemen","socotra yemen"
"138","planning road-trips","trip road"
"144","sightseeing tours denmark","denmark copenhagen"
"145","sightseeing nature-and-wildlife destinations auroras","activity aurora"
"148","overland iran pakistan gilgit-baltistan tehran","safest tehran"
"153","budget cellphones spain mobile-operators data-plans","data verizon"
"154","safety security","attack places"
"155","diving ecotourism malaysia","diving eco"
"159","safety guides mountain-climbing tanzania kilimanjaro","elbrus mount"
"165","trains russia astrakhan ferries","volga astrakhan"
"166","visas uzbekistan kazakhstan embassies consulates","kazakhstan uzbekistan"
"167","visas embassies consulates uzbekistan turkmenistan","uzbekistan turkmenistan"
"170","italy mountains castles fortresses","fortresses castles"
"185","budget online-resources accommodation","resources accomodation"
"189","budget usa public-transport backpacking","public transport"
"193","overland carnet-de-passage","passage carnet"
"203","safety language-barrier tourist-traps","heavily language"
"206","budget planning travel-agents maldives","organizing maldives"
"210","australia weather-and-climate event-travel eclipses","solar eclipse"
"217","china landmarks architecture beijing great-wall-of-china","peking wall"
"221","loyalty-programs star-alliance","sa status"
"226","work seasonal alaska","job seasonal"
"229","online-resources local-customs culture tipping","tipping etiquette"
"232","air-travel gear luggage security photography","equipment camera"
"235","backpacking security automobiles","head trail"
"239","usa public-transport driving car-rentals los-angeles","renting car"
"246","budget buses western-usa","several megabus"
"248","air-travel health long-haul","sickness dramamine"
"250","europe public-transport rental ecotourism bicycles","bike bicycle"
"269","luggage security insurance","stolen insurance"
"270","usa air-travel passenger-rights delays","weather delay"
"275","russia astrakhan kazakhstan aktau","astrakhan aktau"
"277","adventure regulations extreme-sports","aj jump"
"289","russia georgia-country caucasus borders","russia georgia"
"291","routes borders overland southeast-asia myanmar","crossing burma"
"292","romania ferries georgia-country black-sea eastern-europe","black sea"
"295","russia visas georgia-country caucasus","russia georgia"
"301","public-transport italy rome","week rome"
"305","road-trips security motorcycles","motorcycle measures"
"309","budget planning cruising north-america","america north"
"328","passports passport-stamps azerbaijan caucasus armenia","azerbaijan armenia"
"329","study languages guatemala","languages language"
"348","budget public-transport airport-transfer istanbul ist","ataturk taksim"
"349","france spain language-barrier spanish-language french-language","barrier language"
"350","visas money turkey visas-on-arrival ist","lira euros"
"378","tours guides peru trekking machu-picchu","picchu machu"
"381","local-customs italy","thanking aware"
"385","language-barrier iceland","english iceland"
"390","budget cellphones iceland roaming","voice messages"
"394","online-resources cellphones","standards gs"
"398","visas china passports","china taiwan"
"401","visas india paperwork permits","permit residential"
"402","safety greece athens event-based-effects","syntagma greece"
"403","budget uk money exchange","withdraw convert"
"405","local-customs culture clothing islam religion","knees visiting"
"407","india language-barrier english-language","english speaking"
"422","sightseeing france","france highlights"
"423","usa customs-and-immigration canada pre-clearance","airports pre"
"426","cruising tours caribbean shore-excursions","excursions shore"
"428","spain car-rentals","spain rent"
"429","local-customs tipping","tipping etiquette"
"435","insurance car-rentals","car insurance"
"438","health turkey food-and-drink istanbul tap-water","tap water"
"441","driving driving-licenses","licence licences"
"442","russia overland officials corruption registration","police registering"
"444","europe gps-navigation","gps latvia"
"447","visas russia itineraries","submit russia"
"448","budget gear maps gps-navigation","backstreets gps"
"450","road-trips beaches boston new-york-city","york boston"
"454","budget gear camping bulgaria turkey","bulgaria tent"
"457","airport-transfer taxis los-angeles southern-california lax","cab anaheim"
"464","safety spain security cities statistics","pickpocketing spain"
"465","europe germany poland architecture castles","castle malbork"
"470","budget japan accommodation local-customs","jjimjilbangs sentos"
"474","europe cellphones power","iphone charger"
"475","budget uk rental cambridge","colleges punt"
"478","trains uzbekistan kazakhstan aktau bukhara","aktau bukhara"
"480","visas southeast-asia philippines visas-on-arrival","arrival philippines"
"484","visas europe germany us-citizens","passport holder"
"489","international-travel russia ferries saint-petersburg","petersburg saint"
"497","india health south-india","drug pills"
"499","public-transport budget airport-transfer london lgw","london gatwick"
"501","budget airport-transfer malaysia kuala-lumpur kul","kuala lumpur"
"503","mexico health","fever dengue"
"504","turkey romania eastern-europe bulgaria mail","bulgaria package"
"515","sightseeing tours western-usa grand-canyon helicopters","grand canyon"
"516","transportation taxis malaysia kuala-lumpur","drivers meter"
"517","planning florida orlando disney","world disney"
"525","trains india safety solo-travel female-travellers","class woman"
"527","sightseeing planning tourist-traps rome","busy weekends"
"529","visas transportation overland cambodia laos","reap vientiane"
"530","gear customs-and-immigration japan","camping knife"
"539","transportation switzerland","grindelwald stainach"
"543","japan overland sea-travel taiwan philippines","japan taiwan"
"544","usa public-transport regulations","louis missouri"
"545","air-travel gear luggage photography","bag slingshot"
"550","budget hotels","specific area"
"551","usa health airport-security","removing cpap"
"558","adventure iceland sea-travel north-america","boat iceland"
"562","road-trips overland automobiles around-the-world geography","as get"
"569","visas australia us-citizens","pleasure australia"
"573","visas china legal uk-citizens","expired conviction"
"575","cellphones turkey roaming","turkey iphone"
"584","airlines loyalty-programs","airline status"
"585","public-holidays boston","head boston"
"587","visas work us-citizens","programs columbia"
"589","southeast-asia motorcycles laos thailand rental","laos motorbikes"
"590","france work","avaliable ski"
"598","europe new-york-city sea-travel freighter-travel","europe freighter"
"604","festivals estonia tallinn latvia baltics","salacgriva festival"
"607","planning safety australia diving","australia diving"
"610","india safety food-and-drink coffee","coffee tea"
"614","tours australia","opal mines"
"622","camping beaches malaysia","hammocks beaches"
"633","airports regulations power yyz","pearson toronto"
"638","france language-barrier paris","english paris"
"671","safety africa health","strongest sunblock"
"676","usa online-resources automobiles ride-sharing","effective sites"
"678","planning turkey istanbul buses","bus start"
"688","cruising shore-excursions","shore excursions"
"693","usa driving driving-licenses oregon","license ct"
"700","online-resources loyalty-programs hostels hostelworld","accounts hostelworld"
"701","visas france australian-citizens working-holiday","french working"
"703","visas uk schengen russian-citizens","stay schengen"
"704","air-travel public-transport kilimanjaro tanzania","dodoma tanzania"
"706","buses south-africa jnb swaziland","johannesburg mbabane"
"709","visas china us-citizens consulates","consulate chinese"
"711","usa europe driving legal regulations","driver driving"
"716","india gear electronic-items power adapters","plug adapter"
"721","public-transport solo-travel uzbekistan bukhara","traveller bukhara"
"722","money payment-cards","cc mastercard"
"727","safety activities event-travel rome football","rome derby"
"730","air-travel online-resources planning","ykf search"
"733","planning rental vacations","vacation homes"
"736","public-transport driving washington-dc","dc metro"
"741","luggage children airport-security","baby metal"
"743","driving motorcycles iran","insurance cpd"
"754","planning driving routes british-columbia","vancouver banff"
"755","ferries norway fjords","ferry fjords"
"756","hiking food-and-drink","hiking groceries"
"758","driving rental campers north-america","license camper"
"763","budget planning netherlands norway fjords","oslo fjords"
"766","trains china russia mongolia trans-siberian","trans siberian"
"767","visas southeast-asia thailand","thailand obtain"
"776","health international-travel insurance long-term","lived insurances"
"780","public-transport france uk high-speed-rail eurostar","eurostar metro"
"786","health safety food-and-drink","touring water"
"788","air-travel europe germany customs-and-immigration pets","dog microchip"
"790","visas countries disputed-territories cyprus northern-cyprus","northern cyprus"
"792","thailand trekking animal-riding","thailand trekking"
"798","usa cellphones data-plans","gsm mobile"
"801","communication","card calling"
"802","russia japan ferries asia","russian japan"
"804","air-travel easyjet geneva","reminder easyjet"
"805","uk health insurance","ulcerative collitis"
"806","thailand seasonal weather-and-climate","thailand rainy"
"808","visas usa uk-citizens esta short-notice","launch todays"
"811","sightseeing canada toronto","activities calgary"
"815","usa air-travel health airport-security honduras","ounces liquid"
"823","france sightseeing architecture loire-valley","loire chateaux"
"826","online-resources planning mobile-apps","features dopplr"
"831","guides extreme-tourism tajikistan kyrgyzstan pamir-highway","highway pamir"
"833","air-travel online-resources","arivals flights"
"835","visas germany schengen","germany stay"
"842","malaysia beaches activities","enjoy langkawi"
"845","europe france spain festivals","bu ol"
"848","budget hostels san-francisco","san francisco"
"855","budget south-america caribbean","caribbean cruises"
