"id","tags","pred"
"1","caribbean cruising vacations","october cruises cruise looking"
"2","guides extreme-tourism amazon-river amazon-jungle","jungle safely amazon guide"
"4","loyalty-programs routes ewr singapore-airlines sin","ewr sin airlines singapore"
"5","romania transportation","foreigner interested romania use"
"6","extreme-tourism antarctica","maybe unfortunately best antarctica"
"8","usa airport-transfer taxis seattle","seattle airport redmond way"
"9","sightseeing public-transport transportation argentina","car visit time argentina"
"10","safety international-travel money exchange","money currency checks travelers"
"11","russia visas china mongolia trans-siberian","visa best trans visas"
"13","online-resources transportation peru south-america bolivia","bolivia countries information cusco"
"14","us-citizens travel-agents cuba","services worthwhile really cuba"
"15","sightseeing hungary budapest","things visiting hungary budapest"
"16","europe online-resources planning guides trains","good trip train europe"
"25","budget cellphones data-plans communication mobile-operators","roaming fees data plans"
"26","air-travel around-the-world","start world flights specific"
"27","sightseeing planning tourist-traps","explore nature simply things"
"28","budget europe cellphones mobile-operators","travelling possible mobile europe"
"31","air-travel usa sightseeing tours","flying tour prepaid usa"
"33","online-resources international-travel adventure extreme-tourism islands","remote dreaming online islands"
"34","planning tropical-destinations","like deals questions destination"
"41","destinations adventure activities swimming caves","swimming love cave good"
"45","transportation taxis automobiles airport-transfer","car taxis city private"
"47","sightseeing estonia tallinn caves","heard caves true tallinn"
"66","china trains permits tibet","guide possible train permit"
"67","usa florida orlando","week orlando disney world"
"69","luggage airports security south-africa jnb","bad baggage situation airport"
"73","health japan safety radiation","areas protect radiation safe"
"77","air-travel budget online-resources uk airlines","bmifriday deals uk flight"
"78","israel accommodation palestine tel-aviv","israel region aviv tel"
"79","france children","france son year old"
"84","budget air-travel shanghai hong-kong","time hong kong shanghai"
"85","tours new-zealand","lord zealand new rings"
"86","tours guides vietnam hanoi","hanoi vietnam agency travel"
"89","air-travel luggage airlines international-travel insurance","items baggage valuable liability"
"93","routes south-america central-america panama colombia","fly gap dari america"
"97","loyalty-programs singapore-airlines upgrades","portion jfk upgrade trip"
"100","safety tips-and-tricks india beggars","trouble india deal beggars"
"102","hiking africa kilimanjaro gear","unsure water hiking kilimanjaro"
"105","usa transportation","help suitable travel flying"
"110","usa money exchange eu eurozone","best dollars method europe"
"115","budget caribbean sea-travel freighter-travel","expect caribbean freight travel"
"116","russia language-barrier russian-language","visit cities petersburg spoken"
"118","amazon-river tours ecuador","trekking amazon tour ecuador"
"119","planning france paris festivals","france time year crowds"
"122","safety international-travel online-resources","sites safety constantly travel"
"123","trains france luxury high-speed-rail fares","tgv fare eurostar class"
"127","budget tips-and-tricks","travels ways suggest used"
"135","safety international-travel","people safe country world"
"136","safety transportation middle-east yemen","travel current socotra yemen"
"138","planning road-trips","make planning road trip"
"144","sightseeing tours denmark","best things denmark copenhagen"
"145","sightseeing nature-and-wildlife destinations auroras","activity february best aurora"
"148","overland iran pakistan gilgit-baltistan tehran","safest tehran way north"
"153","budget cellphones spain mobile-operators data-plans","verizon data spain traveling"
"154","safety security","dangerous fear really places"
"155","diving ecotourism malaysia","scuba eco diving malaysia"
"159","safety guides mountain-climbing tanzania kilimanjaro","kilimanjaro safely guide mount"
"165","trains russia astrakhan ferries","volga wondering train astrakhan"
"166","visas uzbekistan kazakhstan embassies consulates","head kazakhstan visa uzbekistan"
"167","visas embassies consulates uzbekistan turkmenistan","getting uzbekistan turkmenistan visa"
"170","italy mountains castles fortresses","fortresses visit mountains castles"
"185","budget online-resources accommodation","list resources free accomodation"
"189","budget usa public-transport backpacking","travel good public transport"
"193","overland carnet-de-passage","car egypt passage carnet"
"203","safety language-barrier tourist-traps","areas culture day language"
"206","budget planning travel-agents maldives","organizing agency travel maldives"
"210","australia weather-and-climate event-travel eclipses","november australia solar eclipse"
"217","china landmarks architecture beijing great-wall-of-china","trip wall great china"
"221","loyalty-programs star-alliance","star alliance sa status"
"226","work seasonal alaska","ready job seasonal travel"
"229","online-resources local-customs culture tipping","tipping different etiquette countries"
"232","air-travel gear luggage security photography","carry equipment case camera"
"235","backpacking security automobiles","left vehicle head trail"
"239","usa public-transport driving car-rentals los-angeles","rent public visit car"
"246","budget buses western-usa","best traveling megabus used"
"248","air-travel health long-haul","duration sickness flight dramamine"
"250","europe public-transport rental ecotourism bicycles","bicycle pick cities bike"
"269","luggage security insurance","stolen trip insurance travel"
"270","usa air-travel passenger-rights delays","hour passengers weather delay"
"275","russia astrakhan kazakhstan aktau","theory russia astrakhan aktau"
"277","adventure regulations extreme-sports","macau strictly kg jump"
"289","russia georgia-country caucasus borders","open russia border georgia"
"291","routes borders overland southeast-asia myanmar","burma possible crossing border"
"292","romania ferries georgia-country black-sea eastern-europe","georgia romania black sea"
"295","russia visas georgia-country caucasus","russia visa considering georgia"
"301","public-transport italy rome","public pass rome week"
"305","road-trips security motorcycles","measures motorcycle road room"
"309","budget planning cruising north-america","year getting north america"
"328","passports passport-stamps azerbaijan caucasus armenia","countries azerbaijan armenia country"
"329","study languages guatemala","schools mayan languages language"
"348","budget public-transport airport-transfer istanbul ist","area cheapest taksim way"
"349","france spain language-barrier spanish-language french-language","barrier french language business"
"350","visas money turkey visas-on-arrival ist","pay fee lira euros"
"378","tours guides peru trekking machu-picchu","way long machu picchu"
"381","local-customs italy","september policies aware customs"
"385","language-barrier iceland","speaking icelandic english iceland"
"390","budget cellphones iceland roaming","messages possible text cost"
"394","online-resources cellphones","switch reference amp definitive"
"398","visas china passports","taiwan hong china visa"
"401","visas india paperwork permits","foreigners residential india permit"
"402","safety greece athens event-based-effects","worried travelling fine greece"
"403","budget uk money exchange","better exchange way convert"
"405","local-customs culture clothing islam religion","travel knees appropriately visiting"
"407","india language-barrier english-language","phrases english speaking travel"
"422","sightseeing france","highlights sights week france"
"423","usa customs-and-immigration canada pre-clearance","saved pre customs airports"
"426","cruising tours caribbean shore-excursions","cruise caribbean party shore"
"428","spain car-rentals","order spain car rent"
"429","local-customs tipping","countries tipping different etiquette"
"435","insurance car-rentals","rental credit car insurance"
"438","health turkey food-and-drink istanbul tap-water","faucet istanbul tap water"
"441","driving driving-licenses","photo needed really international"
"442","russia overland officials corruption registration","police russia travelling registering"
"444","europe gps-navigation","phone took mobile latvia"
"447","visas russia itineraries","visa itinerary submit russia"
"448","budget gear maps gps-navigation","worldwide wrong maps gps"
